file,app,camera,blur,share,iteration,condition,name,avg_power_W,total_energy_J,total_time_s,EDP_Js,n_samples_power
results\teams_blur_1.csv,teams,,on,,1,teams_blur,teams_blur_1.csv,7.675250589064098,231.0365447998047,30.1,6954.1999984741215,151
results\teams_blur_10.csv,teams,,on,,10,teams_blur,teams_blur_10.csv,7.140073899263139,214.95474243164062,30.109,6472.0723398742675,151
results\teams_blur_11.csv,teams,,on,,11,teams_blur,teams_blur_11.csv,6.912084293713497,208.08224487304324,30.11,6265.356393127332,151
results\teams_blur_12.csv,teams,,on,,12,teams_blur,teams_blur_12.csv,7.66169482178536,230.41127014160156,30.08,6930.771005859375,151
results\teams_blur_13.csv,teams,,on,,13,teams_blur,teams_blur_13.csv,7.1936576455614025,215.1372528076172,29.908,6434.324956970215,150
results\teams_blur_14.csv,teams,,on,,14,teams_blur,teams_blur_14.csv,6.900804522738605,206.38890075683958,29.912,6173.504799438585,150
results\teams_blur_15.csv,teams,,on,,15,teams_blur,teams_blur_15.csv,7.422465913886519,223.3266143798828,30.091,6720.121153305054,151
results\teams_blur_16.csv,teams,,on,,16,teams_blur,teams_blur_16.csv,8.09339658050886,243.59927368164062,30.101,7332.5817370910645,151
results\teams_blur_17.csv,teams,,on,,17,teams_blur,teams_blur_17.csv,9.549739444559252,287.2496032714844,30.090000000000003,8643.340562438965,151
results\teams_blur_18.csv,teams,,on,,18,teams_blur,teams_blur_18.csv,4.716407046615486,138.9492645263672,29.467000000000002,4094.4179777984623,148
results\teams_blur_19.csv,teams,,on,,19,teams_blur,teams_blur_19.csv,4.584126721526943,135.05050659179688,29.469000000000005,3979.803378753663,148
results\teams_blur_2.csv,teams,,on,,2,teams_blur,teams_blur_2.csv,7.217296476380112,215.98060607910156,29.923000000000002,6462.787675704956,150
results\teams_blur_20.csv,teams,,on,,20,teams_blur,teams_blur_20.csv,10.7698547766821,133.0242767333948,29.498,3923.95011508168,149
results\teams_blur_21.csv,teams,,on,,21,teams_blur,teams_blur_21.csv,4.557802938048968,134.3679809570349,29.487000000000002,3962.108654480088,148
results\teams_blur_22.csv,teams,,on,,22,teams_blur,teams_blur_22.csv,4.5784040124705765,135.9622039794922,29.700000000000003,4038.077458190918,149
results\teams_blur_23.csv,teams,,on,,23,teams_blur,teams_blur_23.csv,4.479895084111344,131.91529846191406,29.455000000000002,3885.565116195679,148
results\teams_blur_24.csv,teams,,on,,24,teams_blur,teams_blur_24.csv,4.525868730807818,134.35511779785156,29.690000000000005,3989.0034474182135,149
results\teams_blur_25.csv,teams,,on,,25,teams_blur,teams_blur_25.csv,4.604661963608767,135.7731018066479,29.492,4004.22031848166,148
results\teams_blur_26.csv,teams,,on,,26,teams_blur,teams_blur_26.csv,4.654868849686239,138.11569213867188,29.678,4098.997511291504,149
results\teams_blur_27.csv,teams,,on,,27,teams_blur,teams_blur_27.csv,4.498563224669719,132.52224731444585,29.467,3905.0330616147758,148
results\teams_blur_28.csv,teams,,on,,28,teams_blur,teams_blur_28.csv,2.1648081629157736,63.33871459959482,29.265,1853.6074827571426,147
results\teams_blur_29.csv,teams,,on,,29,teams_blur,teams_blur_29.csv,4.572791298097664,134.627685546875,29.470000000000002,3967.4778930664065,148
results\teams_blur_3.csv,teams,,on,,3,teams_blur,teams_blur_3.csv,6.622877274790136,199.42874145507812,30.116,6005.995977661133,151
results\teams_blur_30.csv,teams,,on,,30,teams_blur,teams_blur_30.csv,4.6408889801244815,135.6004180908203,29.254,3966.854630828858,147
results\teams_blur_4.csv,teams,,on,,4,teams_blur,teams_blur_4.csv,6.688764684967496,201.32818603515625,30.104999999999997,6060.985040588378,151
results\teams_blur_5.csv,teams,,on,,5,teams_blur,teams_blur_5.csv,6.9761615282130665,202.9901123046875,29.097,5906.403297729493,146
results\teams_blur_6.csv,teams,,on,,6,teams_blur,teams_blur_6.csv,6.876518721508938,207.0318603515625,30.110999999999997,6233.9363470458975,151
results\teams_blur_7.csv,teams,,on,,7,teams_blur,teams_blur_7.csv,7.622296613920101,229.29212951660156,30.081999999999997,6897.565840118407,151
