Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771995653452,395.90968322753906,3750,0,1.0437500000000002,24358.166046142578,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,7.0991668701171875,8.581214904785156,75.65277099609375,39.08909606933594,7.667167663574219,4.739768981933594,26.566818237304688,17.830055236816406,31.53553009033203,9.918205261230469,44.38113784790039,38.36904525756836,5.3724365234375,5.360198974609375,4.9407501220703125,4.937255859375,16486756352,6710886400,7411376128,0
200,1771995653452,395.9175262451172,3750,0,1.0437500000000002,24358.19253540039,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,16486756352,6710886400,7411470336,0
200,1771995653652,1529.552474975586,3750,0,1.0437500000000002,24359.818817138672,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,13.516952514648438,5.412818908691406,2.1019821166992188,2.5920639038085938,7.462898254394531,2.89312744140625,16.29918670654297,6.409004211425781,16.72809600830078,10.62188720703125,5.806388854980469,9.848037719726563,3.284912109375,1.664642333984375,1.3929290771484375,1.268890380859375,16486756352,6710886400,7409897472,0
199,1771995653853,3870.4042053222656,1920,1,0.6625,24361.20848083496,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,14.896987915039063,2.9686431884765625,0.4207000732421875,0.05541229248046875,4.275299072265625,1.1768646240234375,11.919479370117188,6.539588928222656,19.027183532714844,12.751426696777344,1.5257949829101563,0.24676513671875,1.22271728515625,0.5511932373046875,0.3556365966796875,0.44257354736328125,16486756352,6710886400,7422550016,0
199,1771995654053,607.9045867919922,3000,0,0.86875,24362.469497680664,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,13.244598388671875,3.6285858154296875,1.0539016723632813,0.8721847534179688,2.722564697265625,1.3818511962890625,14.9140625,3.29144287109375,15.344207763671875,3.275604248046875,2.5866317749023438,0.495819091796875,1.2761001586914063,0.5804290771484375,0.16727447509765625,0.08251190185546875,16486756352,6710886400,7421657088,0
199,1771995654253,2900.2083587646484,2400,0,0.74375,24363.670852661133,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,11.401618957519531,2.6552047729492188,0.47055816650390625,0.6916580200195313,1.66119384765625,0.8354949951171875,10.116348266601563,3.7290191650390625,12.998687744140625,5.815177917480469,6.157936096191406,0.7787094116210938,0.8923263549804688,0.7237701416015625,0.360687255859375,0.13089752197265625,16486756352,6710886400,7416610816,0
199,1771995654453,2900.319091796875,3750,0,1.0437500000000002,24364.97087097168,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,12.446685791015625,3.1107025146484375,0.3546905517578125,0.0210418701171875,5.5809326171875,1.6147079467773438,13.272621154785156,6.503990173339844,18.67292022705078,5.579925537109375,3.9510040283203125,0.39411163330078125,1.4689254760742188,2.0803298950195313,0.7317276000976563,0.4820404052734375,16486756352,6710886400,7416520704,0
200,1771995654653,2900.457977294922,3750,0,1.0375,24366.385192871094,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,12.502349853515625,4.658546447753906,1.40618896484375,1.2936782836914063,3.3306884765625,1.65008544921875,6.552024841308594,15.50311279296875,18.682327270507813,8.587287902832031,4.1536102294921875,0.8352584838867188,1.0330963134765625,1.80865478515625,0.44922637939453125,0.43963623046875,16486756352,6710886400,7409049600,0
199,1771995654854,1530.1705017089844,3750,0,1.0437500000000002,24367.64744567871,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,10.546737670898438,5.9694366455078125,0.7593612670898438,0.6401138305664063,3.6065826416015625,4.661979675292969,9.222320556640625,8.172256469726563,13.549263000488281,10.323905944824219,3.8525009155273438,0.6073989868164063,1.0715103149414063,0.7132797241210938,0.30327606201171875,0.7764663696289063,16486756352,6710886400,7410348032,0
200,1771995655054,2900.666946411133,3750,0,1.0437500000000002,24368.83612060547,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,11.683135986328125,2.5976333618164063,0.37725830078125,0.4103851318359375,4.021209716796875,1.5010986328125,11.262138366699219,5.5882720947265625,11.038734436035156,9.028854370117188,4.8680419921875,0.843841552734375,1.12139892578125,0.6421585083007813,0.3752593994140625,0.388214111328125,16486756352,6710886400,7410245632,0
