Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772004929292,1251.0054626464844,4475,0,1.33125,18156.499084472656,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,44.5468635559082,5.2552032470703125,0,0,0,0,22.11279296875,5.5917816162109375,0,94.49427032470703,35.015586853027344,50.67219924926758,6.6761016845703125,0,43.187164306640625,24.181983947753906,16486756352,6710886400,7738540032,0
200,1772004929292,6000.457260131836,3560,0,0.99375,18156.536041259766,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,11.482398986816406,0,0,0.0694122314453125,0,0,100,56.261775970458984,100,0,0,80.22805786132813,81.62617492675781,16486756352,6710886400,7738281984,0
199,1772004929492,8622.432708740234,3000,0,0.85625,18159.82762145996,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,13.498687744140625,14.119972229003906,9.492774963378906,10.335762023925781,14.765144348144531,13.883293151855469,20.289566040039063,18.704605102539063,14.337867736816406,46.921409606933594,19.807456970214844,12.772079467773438,8.595252990722656,11.085304260253906,7.9177703857421875,7.6322174072265625,16486756352,6710886400,7768141824,0
199,1772004929692,6000.780975341797,3750,0,1.0437500000000002,18161.10284423828,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,4.422248840332031,13.117286682128906,1.617523193359375,1.48583984375,5.185081481933594,2.4199142456054688,8.949661254882813,9.688858032226563,11.577445983886719,9.976654052734375,1.3250350952148438,2.2828369140625,1.5689163208007813,2.09075927734375,0.14687347412109375,0.42827606201171875,16486756352,6710886400,7770030080,0
199,1772004929893,6000.942123413086,3000,0,0.8625,18162.83187866211,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,7.1455230712890625,14.4007568359375,2.9130630493164063,2.603759765625,3.63079833984375,2.9657363891601563,10.604873657226563,11.924880981445313,7.6155548095703125,7.169807434082031,13.562599182128906,7.996208190917969,3.3673629760742188,3.926971435546875,2.4091339111328125,0.921478271484375,16486756352,6710886400,7762653184,0
199,1772004930093,1251.1653442382813,3000,0,0.86875,18164.498107910156,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,8.464241027832031,12.289520263671875,0.380340576171875,1.4327011108398438,3.8342437744140625,2.9587326049804688,19.451766967773438,10.760528564453125,7.14581298828125,14.179817199707031,2.4820480346679688,6.918121337890625,1.8014678955078125,1.4365081787109375,1.4008865356445313,0.992889404296875,16486756352,6710886400,7765479424,0
200,1772004930293,1548.5465850830078,3750,0,1.0437500000000002,18165.768310546875,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,7.271759033203125,14.452178955078125,4.234214782714844,1.4549407958984375,4.866355895996094,3.4818267822265625,8.711196899414063,13.719520568847656,10.245071411132813,7.69097900390625,2.4539337158203125,4.6678314208984375,2.1518096923828125,3.5538864135742188,1.6645278930664063,1.2038955688476563,16486756352,6710886400,7761285120,0
200,1772004930493,1251.2103881835938,3000,0,0.86875,18167.431640625,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,8.8372802734375,15.571540832519531,3.3719711303710938,2.5702285766601563,6.4375457763671875,6.5718536376953125,8.144844055175781,16.95172882080078,14.957008361816406,10.408523559570313,4.421760559082031,3.7000198364257813,3.9456787109375,6.595855712890625,2.7620315551757813,2.70867919921875,16486756352,6710886400,7761014784,0
200,1772004930694,8623.420608520508,3750,0,1.0375,18168.728805541992,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,6.5048370361328125,12.651725769042969,0.40131378173828125,0.8778457641601563,4.631561279296875,2.7481765747070313,11.551460266113281,10.972549438476563,10.645057678222656,7.592292785644531,1.5575408935546875,3.1735992431640625,2.6295394897460938,0.7894210815429688,0.33704376220703125,1.1636276245117188,16486756352,6710886400,7764058112,0
199,1772004930894,2407.0501556396484,3000,0,0.86875,18169.940963745117,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,7.063201904296875,9.490386962890625,0.4199676513671875,0.7628402709960938,3.9511642456054688,2.0201873779296875,7.615211486816406,12.9893798828125,11.340583801269531,9.716476440429688,5.671211242675781,4.893119812011719,1.3055191040039063,1.791259765625,0.38455963134765625,0.6610641479492188,16486756352,6710886400,7763783680,0
