Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772018478448,15125.98762512207,2650,0,0.775,14423.3603515625,1808,1808,1808,1808,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,0,0,0,0,0,0,78.170654296875,85.34741973876953,90.3844985961914,97.72998046875,0,0,0,0,0,0,16486756352,6710886400,7720574976,0
199,1772018478448,15126.009353637695,2650,0,0.775,14423.47590637207,1808,1808,1808,1808,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,1.3369903564453125,1.1077651977539063,1.230377197265625,1.2298431396484375,1.22930908203125,1.2287750244140625,61.80664825439453,57.267372131347656,69.04550170898438,76.2385025024414,1.2346420288085938,1.2341079711914063,1.2330398559570313,1.2325057983398438,1.2314453125,1.2309112548828125,16486756352,6710886400,7720624128,0
200,1772018478648,15126.097137451172,2650,0,0.7875,14424.26774597168,1808,1808,1808,1808,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,15.6217041015625,12.87591552734375,0,0,0,0,21.295089721679688,7.813926696777344,14.31103515625,11.918182373046875,0,0,0,0,0,0,16486756352,6710886400,7720259584,0
199,1772018478849,17825.695526123047,2650,0,0.79375,14425.003540039063,1808,1808,1808,1808,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,8.575172424316406,5.2587738037109375,0,0,0,0,16.41478729248047,15.643684387207031,22.613868713378906,10.944633483886719,0,0,0,0,0,0,16486756352,6710886400,7717863424,0
200,1772018479049,17825.864715576172,2650,0,0.775,14425.772384643555,1808,1808,1808,1808,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,0.27503204345703125,0.16141510009765625,0.1602630615234375,0.16011810302734375,0.1600189208984375,0.15991973876953125,20.36956787109375,13.028854370117188,26.159698486328125,23.968605041503906,0.1609649658203125,0.1608123779296875,0.16071319580078125,0.160614013671875,0.16046905517578125,0.1604156494140625,16486756352,6710886400,7707668480,0
199,1772018479250,17825.998306274414,2650,0,0.79375,14426.343139648438,1808,1808,1808,1808,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,0,0,0,0,0,0,26.2733154296875,14.134475708007813,24.502822875976563,29.322265625,0,0,0,0,0,0,16486756352,6710886400,7709736960,0
199,1772018479450,17826.146453857422,2650,0,0.775,14426.780471801758,1808,1808,1808,1808,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,0.1175079345703125,0.11721038818359375,0.11591339111328125,0.11576080322265625,0.11556243896484375,0.1154632568359375,18.158523559570313,13.512168884277344,21.28778839111328,34.913719177246094,0.11670684814453125,0.116607666015625,0.11646270751953125,0.1162109375,0.11611175537109375,0.1160125732421875,16486756352,6710886400,7709315072,0
199,1772018479651,15126.495071411133,2650,0,0.775,14427.220977783203,1808,1808,1808,1808,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,0,0,0,0,0,0,20.72235870361328,11.526100158691406,24.507469177246094,28.673858642578125,0,0,0,0,0,0,16486756352,6710886400,7709233152,0
200,1772018479851,17826.435089111328,2120,0,0.7,14427.649505615234,1808,1808,1808,1808,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,0,0,0,0,0,0,18.802978515625,11.558113098144531,20.549606323242188,33.415565490722656,0,0,0,0,0,0,16486756352,6710886400,7708217344,0
199,1772018480051,17826.570098876953,1500,2,0.63125,14428.12026977539,1808,1808,1808,1808,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,0.11949920654296875,0.11815643310546875,0.11302947998046875,0.11287689208984375,0.1127777099609375,0.11263275146484375,22.18512725830078,13.828231811523438,22.78124237060547,33.284637451171875,0.1163177490234375,0.1156158447265625,0.11527252197265625,0.11437225341796875,0.1134796142578125,0.1131744384765625,16486756352,6710886400,7708184576,0
