Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771997250363,3807.5780639648438,3000,0,0.85625,34559.97659301758,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0,0,0,42.77599334716797,0,19.946983337402344,43.10087203979492,14.906425476074219,30.091880798339844,0,0,16486756352,6710886400,8244690944,0
200,1771997250364,3807.581253051758,3750,0,1.0437500000000002,34560.005462646484,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.6696014404296875,0,56.28622817993164,0,0,0,80.46172332763672,90.31581115722656,41.255245208740234,0,100,74.56526184082031,10.163902282714844,0,0,0,16486756352,6710886400,8244715520,0
199,1771997250564,4884.866455078125,3750,0,1.0437500000000002,34561.1378326416,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,9.578582763671875,6.0511474609375,0.6567535400390625,0.1994781494140625,2.673004150390625,3.1433792114257813,8.455253601074219,9.846481323242188,8.235832214355469,7.007789611816406,3.2198486328125,0.14734649658203125,1.5682144165039063,1.33575439453125,0,0.08621978759765625,16486756352,6710886400,8244367360,0
200,1771997250764,2292.052749633789,3000,0,0.8625,34562.171966552734,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,12.59228515625,5.271995544433594,0.7654037475585938,0.6488494873046875,1.5182418823242188,2.2527008056640625,7.157440185546875,8.694725036621094,5.37225341796875,9.936203002929688,1.7123336791992188,0.6987762451171875,1.2790069580078125,0.9319381713867188,0.6989288330078125,0.5785369873046875,16486756352,6710886400,8243478528,0
200,1771997250965,4885.1043701171875,3750,0,1.0437500000000002,34563.51350402832,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,10.153129577636719,3.5518569946289063,0.6466827392578125,0.20514678955078125,2.6842803955078125,2.5864791870117188,5.998985290527344,17.964614868164063,7.641593933105469,10.014427185058594,5.435951232910156,1.688507080078125,2.0412445068359375,1.2551193237304688,0.8423309326171875,1.0298690795898438,16486756352,6710886400,8241664000,0
200,1771997251165,3808.0745849609375,3000,0,0.85625,34564.51431274414,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,12.076515197753906,5.8701934814453125,0.34186553955078125,0.51806640625,0.583221435546875,3.048187255859375,5.130393981933594,8.950340270996094,3.0140838623046875,9.084098815917969,2.9550704956054688,0.43328857421875,1.537078857421875,0.8663253784179688,0.40887451171875,0.47702789306640625,16486756352,6710886400,8240783360,0
199,1771997251366,2292.3241577148438,3750,0,1.0437500000000002,34565.52647399902,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,8.636070251464844,5.4405517578125,0.10402679443359375,0.7756195068359375,0.7993316650390625,1.4705657958984375,7.6625823974609375,8.568778991699219,2.9721832275390625,10.625480651855469,3.7020263671875,0.1007843017578125,1.8440475463867188,1.0731735229492188,1.0943374633789063,1.94732666015625,16486756352,6710886400,8240250880,0
200,1771997251565,4885.359664916992,3750,0,1.0437500000000002,34566.485275268555,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,10.609336853027344,5.674018859863281,0.44860076904296875,0.40537261962890625,1.7343063354492188,2.3019027709960938,4.7227935791015625,7.347923278808594,6.403526306152344,7.922393798828125,0.85186767578125,0.38408660888671875,1.79144287109375,0.46295928955078125,0.30159759521484375,0.510406494140625,16486756352,6710886400,8239931392,0
200,1771997251766,4885.444091796875,2400,0,0.74375,34567.437927246094,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,9.750701904296875,5.1843109130859375,0.07859039306640625,0.1906280517578125,1.429595947265625,1.7335128784179688,5.740959167480469,7.245048522949219,3.6358795166015625,9.110824584960938,3.5308837890625,0.39109039306640625,0.17664337158203125,0.998016357421875,0.089324951171875,0.10594940185546875,16486756352,6710886400,8239919104,0
200,1771997251966,903.2126007080078,3000,0,0.86875,34568.43618774414,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,12.324058532714844,6.203514099121094,0.11733245849609375,0.16904449462890625,1.5928115844726563,1.2694320678710938,6.5652618408203125,8.207984924316406,6.674339294433594,6.259681701660156,1.7618560791015625,1.8267745971679688,0.386749267578125,2.159515380859375,0.07932281494140625,0.1121826171875,16486756352,6710886400,8244686848,0
