Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772018947750,18055.59017944336,2650,0,0.79375,15786.423599243164,1808,1808,1808,1808,1808,1808,2000,2000,2000,2000,1808,1808,1808,1808,1808,1808,8.431327819824219,27.33460235595703,0,0,0,0,7.846015930175781,42.48106384277344,71.3663330078125,49.7735595703125,0,0,0,0,0,0,16486756352,6710886400,8536530944,0
200,1772018947750,9864.382843017578,2650,0,0.79375,15786.513229370117,1808,1808,1808,1808,1808,1808,2000,2000,2000,2000,1808,1808,1808,1808,1808,1808,51.83488082885742,45.18264389038086,0.33600616455078125,0.335479736328125,0.33495330810546875,0.3344268798828125,43.422550201416016,49.468074798583984,69.31365966796875,72.2513656616211,0.3386383056640625,0.3386383056640625,0.33811187744140625,0.33758544921875,0.33705902099609375,0.33600616455078125,16486756352,6710886400,8537018368,0
199,1772018947951,18055.715286254883,2120,0,0.7,15787.094177246094,1808,1808,1808,1808,1808,1808,2000,2000,2000,2000,1808,1808,1808,1808,1808,1808,13.291000366210938,15.205375671386719,0,0,0,0,15.554939270019531,31.99468994140625,18.172393798828125,18.63117218017578,0,0,0,0,0,0,16486756352,6710886400,8537546752,0
199,1772018948151,18055.800582885742,2650,0,0.78125,15787.644989013672,1808,1808,1808,1808,1808,1808,2000,2000,2000,2000,1808,1808,1808,1808,1808,1808,8.093193054199219,14.459320068359375,0.1091766357421875,0.1091766357421875,0.10907745361328125,0.10892486572265625,16.27753448486328,29.895523071289063,21.148033142089844,15.063278198242188,0.1099700927734375,0.10987091064453125,0.109771728515625,0.10962677001953125,0.10947418212890625,0.109375,16486756352,6710886400,8537141248,0
199,1772018948351,18055.91342163086,2650,0,0.775,15788.111740112305,1808,1808,1808,1808,1808,1808,2000,2000,2000,2000,1808,1808,1808,1808,1808,1808,0.19623565673828125,0.162200927734375,0.16110992431640625,0.1610107421875,0.16095733642578125,0.1608123779296875,21.49170684814453,27.975730895996094,28.619216918945313,18.064292907714844,0.16185760498046875,0.1617584228515625,0.16165924072265625,0.16155242919921875,0.16130828857421875,0.1612091064453125,16486756352,6710886400,8537092096,0
199,1772018948552,18056.04116821289,2650,0,0.79375,15788.579315185547,1808,1808,1808,1808,1808,1808,2000,2000,2000,2000,1808,1808,1808,1808,1808,1808,0,0,0,0,0,0,19.013145446777344,25.605667114257813,25.020729064941406,20.720855712890625,0,0,0,0,0,0,16486756352,6710886400,8535187456,0
199,1772018948752,18056.14710998535,1400,2,0.63125,15789.028564453125,1808,1808,1808,1808,1808,1808,2000,2000,2000,2000,1808,1808,1808,1808,1808,1808,0.2582550048828125,0.2433929443359375,0.2416534423828125,0.2415008544921875,0.2413482666015625,0.2411041259765625,19.076087951660156,24.022377014160156,17.220924377441406,24.503089904785156,0.24289703369140625,0.2425994873046875,0.242401123046875,0.24219512939453125,0.2420501708984375,0.2418975830078125,16486756352,6710886400,8535031808,0
200,1772018948952,18056.270477294922,2650,0,0.78125,15789.515731811523,1808,1808,1808,1808,1808,1808,2000,2000,2000,2000,1808,1808,1808,1808,1808,1808,0,0,0,0,0,0,18.53791046142578,21.10724639892578,20.30590057373047,23.370452880859375,0,0,0,0,0,0,16486756352,6710886400,8534441984,0
200,1772018949153,18056.407974243164,2650,0,0.78125,15789.989685058594,1808,1808,1808,1808,1808,1808,2000,2000,2000,2000,1808,1808,1808,1808,1808,1808,0.07767486572265625,0.07727813720703125,0.075927734375,0.0758819580078125,0.0757293701171875,0.07563018798828125,19.02086639404297,30.21111297607422,23.210662841796875,20.068153381347656,0.07697296142578125,0.07657623291015625,0.07637786865234375,0.0762786865234375,0.07617950439453125,0.07602691650390625,16486756352,6710886400,8534360064,0
199,1772018949354,18056.558853149414,2650,0,0.78125,15790.460235595703,1808,1808,1808,1808,1808,1808,2000,2000,2000,2000,1808,1808,1808,1808,1808,1808,0.36205291748046875,0.27082061767578125,0.2434234619140625,0.24312591552734375,0.24288177490234375,0.242584228515625,19.089508056640625,21.224334716796875,19.006370544433594,23.457054138183594,0.2453460693359375,0.24505615234375,0.2447052001953125,0.2444610595703125,0.2440643310546875,0.24376678466796875,16486756352,6710886400,8534224896,0
