Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772016768298,16794.005477905273,3750,0,1.0437500000000002,5772.028030395508,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,10.818458557128906,9.268447875976563,34.88445281982422,25.093231201171875,8.687400817871094,8.485946655273438,14.919082641601563,11.660896301269531,35.30900573730469,52.2442741394043,100,87.51498413085938,14.40130615234375,9.170219421386719,10.840103149414063,10.092567443847656,16486756352,6710886400,8477057024,0
199,1772016768298,1734.1701354980469,3000,0,0.875,5772.0452880859375,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,11.642288208007813,26.44947052001953,0,0,37.98537063598633,0,76.6622314453125,87.39361572265625,100,95.53191375732422,0,0,0,0,16486756352,6710886400,8477073408,0
200,1772016768498,16794.151809692383,2400,0,0.74375,5773.269332885742,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,8.413749694824219,4.458427429199219,2.1281890869140625,2.0851058959960938,4.176116943359375,3.21856689453125,5.078582763671875,11.326614379882813,10.442985534667969,9.209770202636719,3.2838363647460938,1.2187728881835938,2.9701385498046875,3.0907821655273438,0.767486572265625,1.2835922241210938,16486756352,6710886400,8468918272,0
199,1772016768698,16794.249465942383,2400,0,0.74375,5774.196914672852,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,9.730293273925781,2.3569259643554688,0.74969482421875,1.12994384765625,2.6543426513671875,1.6725311279296875,4.634849548339844,9.207778930664063,11.168167114257813,7.03839111328125,1.1380157470703125,0.6266098022460938,0.7524337768554688,3.2908172607421875,1.2125320434570313,1.2272262573242188,16486756352,6710886400,8468803584,0
199,1772016768899,9248.393280029297,3000,0,0.8625,5775.118515014648,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,8.613113403320313,3.2624893188476563,0.869140625,0.9812545776367188,5.227653503417969,1.7711105346679688,3.4927749633789063,8.227821350097656,10.499343872070313,6.717124938964844,0.9375076293945313,0.22748565673828125,0.437896728515625,2.76593017578125,0.06146240234375,0.5505599975585938,16486756352,6710886400,8466235392,0
199,1772016769099,14250.360122680664,3000,0,0.85625,5776.934005737305,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,11.282699584960938,5.468406677246094,1.0458221435546875,1.794097900390625,8.364547729492188,3.3167495727539063,8.157203674316406,22.38451385498047,12.051437377929688,11.299919128417969,4.489433288574219,1.3873062133789063,1.208831787109375,4.331321716308594,0.8439254760742188,1.042327880859375,16486756352,6710886400,8493264896,0
199,1772016769299,16794.64907836914,3000,0,0.8625,5777.922027587891,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,9.354225158691406,2.6492233276367188,0.3972320556640625,1.6680831909179688,3.4809188842773438,2.6893463134765625,4.766357421875,10.135704040527344,6.9815673828125,6.098258972167969,2.7431640625,0.25012969970703125,0.94256591796875,3.2553634643554688,0.31543731689453125,0.2590789794921875,16486756352,6710886400,8493248512,0
199,1772016769499,16794.73031616211,3750,0,1.0375,5778.853439331055,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,8.779914855957031,3.1535873413085938,0.8259811401367188,0.843170166015625,2.6107025146484375,2.7617721557617188,4.014961242675781,10.113639831542969,7.304374694824219,6.731689453125,0.9541015625,0.9859466552734375,1.494140625,2.7503280639648438,0.3584747314453125,0.21030426025390625,16486756352,6710886400,8497250304,0
199,1772016769699,14250.652206420898,4350,0,1.2375,5780.220474243164,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,11.075614929199219,2.6068496704101563,0.763824462890625,1.1092453002929688,2.6307296752929688,3.3804092407226563,7.58148193359375,8.971588134765625,12.643844604492188,5.936347961425781,24.783409118652344,7.013938903808594,1.8920822143554688,2.2272186279296875,1.2711715698242188,1.1011734008789063,16486756352,6710886400,8497528832,0
199,1772016769900,9248.872573852539,4550,0,1.34375,5781.4180908203125,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,11.003532409667969,3.4701919555664063,0.46863555908203125,1.65509033203125,3.865325927734375,3.0103836059570313,10.29449462890625,7.6756591796875,9.254402160644531,12.73651123046875,3.6566390991210938,0.8538970947265625,2.5739593505859375,2.9749298095703125,0.2872772216796875,0.38077545166015625,16486756352,6710886400,8519286784,0
200,1772016770100,14251.035018920898,3750,0,1.0437500000000002,5782.996505737305,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,8.59088134765625,5.988609313964844,0.29639434814453125,1.2262115478515625,5.1397552490234375,3.6824874877929688,17.179000854492188,11.055473327636719,15.9552001953125,7.6226348876953125,3.7051773071289063,0.9251022338867188,1.3182449340820313,2.0391387939453125,0.97430419921875,0.28582000732421875,16486756352,6710886400,8525819904,0
200,1772016770300,16795.259216308594,2000,1,0.68125,5784.141799926758,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,10.570503234863281,3.3404464721679688,0.1500091552734375,0.5819168090820313,1.0035476684570313,4.69061279296875,3.2259063720703125,10.478134155273438,14.28662109375,7.71484375,2.9180221557617188,0,2.0563583374023438,1.574371337890625,0,0.04084014892578125,16486756352,6710886400,8525819904,0
199,1772016770500,16795.357147216797,3750,0,1.0375,5785.117156982422,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,11.362716674804688,2.6541366577148438,1.1872177124023438,1.2603759765625,5.109046936035156,2.9663848876953125,4.0842742919921875,9.619087219238281,12.10675048828125,7.2111053466796875,1.5988006591796875,1.4021682739257813,1.8026504516601563,3.5363235473632813,1.71600341796875,0.8026580810546875,16486756352,6710886400,8525901824,0
199,1772016770700,3766.317108154297,3750,0,1.05625,5786.120544433594,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,11.723182678222656,1.9610443115234375,0.38838958740234375,0.41719818115234375,1.5245590209960938,2.1225509643554688,6.445457458496094,9.554740905761719,8.062744140625,5.989280700683594,2.007232666015625,2.4465179443359375,2.172393798828125,3.4091110229492188,0.4822235107421875,0.46604156494140625,16486756352,6710886400,8525037568,0
199,1772016770901,16795.534942626953,2400,0,0.74375,5787.262649536133,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,8.398597717285156,3.70379638671875,0.5413894653320313,2.0062789916992188,3.0877685546875,1.7788848876953125,7.418266296386719,8.169654846191406,11.992416381835938,5.7746429443359375,4.1726531982421875,4.923095703125,1.825103759765625,2.1675643920898438,1.1489944458007813,0.2763519287109375,16486756352,6710886400,8523476992,0
199,1772016771101,16795.628189086914,2400,0,0.74375,5788.362640380859,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,9.294281005859375,5.1071014404296875,1.657958984375,1.4425506591796875,2.245147705078125,3.342987060546875,6.7820587158203125,11.307533264160156,9.509292602539063,7.979728698730469,1.5394821166992188,1.838592529296875,1.8505172729492188,2.847320556640625,1.8958740234375,0.9488906860351563,16486756352,6710886400,8522600448,0
200,1772016771301,16795.75212097168,2400,0,0.74375,5789.564514160156,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,9.279975891113281,4.622047424316406,0.810943603515625,0.863616943359375,6.283912658691406,2.3228912353515625,6.553558349609375,9.542427062988281,12.829429626464844,9.551620483398438,3.1796112060546875,12.257698059082031,2.8111648559570313,3.042388916015625,1.8852920532226563,0.998687744140625,16486756352,6710886400,8522543104,0
