Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772007522530,7020.511871337891,2650,0,0.7875,32712.431427001953,1808,1808,1808,1808,1808,1808,1808,1808,2000,2000,1808,1808,1808,1808,1808,1808,69.1524658203125,57.59721755981445,0.6585845947265625,0.6572723388671875,0.6533584594726563,0.6520462036132813,50.31230545043945,30.41370391845703,80.33660888671875,50.36457061767578,0.6768798828125,0.6742630004882813,0.6677322387695313,0.6638107299804688,0.66119384765625,0.6585845947265625,16486756352,6710886400,7572213760,0
199,1772007522531,10146.381072998047,2650,0,0.7875,32712.445571899414,1808,1808,1808,1808,1808,1808,1808,1808,2000,2000,1808,1808,1808,1808,1808,1808,100,92.75859069824219,0,0,0,0,33.04888916015625,48.10591125488281,59.334877014160156,0.630035400390625,0,0,0,0,0,0,16486756352,6710886400,7572230144,0
200,1772007522731,11809.185165405273,2650,0,0.7875,32713.420455932617,1808,1808,1808,1808,1808,1808,1808,1808,2000,2000,1808,1808,1808,1808,1808,1808,32.9232177734375,16.23369598388672,0.04093170166015625,0.0408782958984375,0.04093170166015625,0.0408782958984375,23.0235595703125,13.512825012207031,22.5301513671875,16.729049682617188,0.04093170166015625,0.04097747802734375,0.04097747802734375,0.04097747802734375,0.04093170166015625,0.04093170166015625,16486756352,6710886400,7574384640,0
199,1772007522931,10146.554718017578,2250,2,0.6375,32714.332885742188,1808,1808,1808,1808,1808,1808,1808,1808,2000,2000,1808,1808,1808,1808,1808,1808,10.658645629882813,7.854331970214844,0,0,0,0,26.21288299560547,18.625335693359375,26.936798095703125,21.632080078125,0,0,0,0,0,0,16486756352,6710886400,7573995520,0
200,1772007523131,10146.676681518555,2650,0,0.775,32715.222229003906,1808,1808,1808,1808,1808,1808,1808,1808,2000,2000,1808,1808,1808,1808,1808,1808,0,0,0,0,0,0,24.512535095214844,24.72845458984375,29.890579223632813,27.06012725830078,0,0,0,0,0,0,16486756352,6710886400,7573319680,0
200,1772007523332,10146.799621582031,2650,0,0.775,32716.148178100586,1808,1808,1808,1808,1808,1808,1808,1808,2000,2000,1808,1808,1808,1808,1808,1808,0.2128143310546875,0.14426422119140625,0.14311981201171875,0.14306640625,0.1430206298828125,0.1428680419921875,31.31805419921875,22.408851623535156,28.025680541992188,31.617637634277344,0.14371490478515625,0.14351654052734375,0.14347076416015625,0.14336395263671875,0.14331817626953125,0.143218994140625,16486756352,6710886400,7572520960,0
199,1772007523533,11809.785186767578,2650,0,0.775,32717.034561157227,1808,1808,1808,1808,1808,1808,1808,1808,2000,2000,1808,1808,1808,1808,1808,1808,0,0,0,0,0,0,24.043678283691406,15.542144775390625,31.7816162109375,34.244361877441406,0,0,0,0,0,0,16486756352,6710886400,7572353024,0
199,1772007523733,11809.919158935547,2650,0,0.775,32717.951629638672,1808,1808,1808,1808,1808,1808,1808,1808,2000,2000,1808,1808,1808,1808,1808,1808,0,0,0,0,0,0,26.829452514648438,24.965957641601563,25.927322387695313,26.60509490966797,0,0,0,0,0,0,16486756352,6710886400,7572131840,0
199,1772007523933,11810.060165405273,2650,0,0.7875,32718.914016723633,1808,1808,1808,1808,1808,1808,1808,1808,2000,2000,1808,1808,1808,1808,1808,1808,14.760162353515625,7.2191925048828125,0,0,0,0,25.26079559326172,16.33490753173828,29.994003295898438,29.96783447265625,0,0,0,0,0,0,16486756352,6710886400,7572275200,0
199,1772007524133,10147.177474975586,2650,0,0.7875,32719.84684753418,1808,1808,1808,1808,1808,1808,1808,1808,2000,2000,1808,1808,1808,1808,1808,1808,24.98035430908203,14.835197448730469,0,0,0,0,14.997154235839844,12.158676147460938,25.163917541503906,12.52056884765625,0,0,0,0,0,0,16486756352,6710886400,7572123648,0
199,1772007524333,10147.30044555664,2650,0,0.775,32720.779098510742,1808,1808,1808,1808,1808,1808,1808,1808,2000,2000,1808,1808,1808,1808,1808,1808,0.30605316162109375,0.2933349609375,0.2808685302734375,0.28076934814453125,0.280670166015625,0.280517578125,27.397850036621094,24.436553955078125,34.70941162109375,25.19195556640625,0.281707763671875,0.281463623046875,0.28136444091796875,0.2812652587890625,0.28116607666015625,0.28101348876953125,16486756352,6710886400,7571931136,0
182,1772007524551,11810.54867553711,2650,0,0.7875,32721.753341674805,1808,1808,1808,1808,1808,1808,1808,1808,2000,2000,1808,1808,1808,1808,1808,1808,0,0,0,0,0,0,24.30133819580078,19.949546813964844,25.734657287597656,33.56659698486328,0,0,0,0,0,0,16486756352,6710886400,7571603456,0
199,1772007524734,10147.52621459961,2650,0,0.775,32722.612106323242,1808,1808,1808,1808,1808,1808,1808,1808,2000,2000,1808,1808,1808,1808,1808,1808,0.17508697509765625,0.174652099609375,0.16713714599609375,0.1669158935546875,0.16680908203125,0.1667022705078125,26.167320251464844,20.06805419921875,18.326339721679688,35.991050720214844,0.16838836669921875,0.1682281494140625,0.1679534912109375,0.16778564453125,0.16751861572265625,0.16735076904296875,16486756352,6710886400,7571484672,0
200,1772007524934,10147.632125854492,2120,0,0.6875,32723.528274536133,1808,1808,1808,1808,1808,1808,1808,1808,2000,2000,1808,1808,1808,1808,1808,1808,0,0,0,0,0,0,29.448486328125,21.24140167236328,27.256393432617188,33.429969787597656,0,0,0,0,0,0,16486756352,6710886400,7565377536,0
199,1772007525135,7021.021820068359,2650,0,0.7875,32724.45231628418,1808,1808,1808,1808,1808,1808,1808,1808,2000,2000,1808,1808,1808,1808,1808,1808,25.81244659423828,6.322608947753906,0.34697723388671875,0.3468780517578125,0.3464813232421875,0.3464813232421875,23.180130004882813,11.505210876464844,25.610191345214844,18.12554168701172,0.347076416015625,0.346923828125,0.3467254638671875,0.34658050537109375,0.3468780517578125,0.34697723388671875,16486756352,6710886400,7565238272,0
200,1772007525335,10147.803909301758,2650,0,0.775,32725.3876953125,1808,1808,1808,1808,1808,1808,1808,1808,2000,2000,1808,1808,1808,1808,1808,1808,10.210929870605469,9.836334228515625,0.1475830078125,0.14752960205078125,0.147430419921875,0.14733123779296875,26.727615356445313,12.988288879394531,23.86054229736328,19.178245544433594,0.14813232421875,0.14788055419921875,0.14783477783203125,0.14772796630859375,0.14772796630859375,0.14768218994140625,16486756352,6710886400,7565225984,0
199,1772007525536,10147.899917602539,2650,0,0.7875,32726.301834106445,1808,1808,1808,1808,1808,1808,1808,1808,2000,2000,1808,1808,1808,1808,1808,1808,12.27679443359375,9.750930786132813,0,0,0,0,23.35938262939453,17.708251953125,23.934303283691406,18.909805297851563,0,0,0,0,0,0,16486756352,6710886400,7564402688,0
200,1772007525736,11811.36897277832,2120,0,0.6875,32727.225128173828,1808,1808,1808,1808,1808,1808,1808,1808,2000,2000,1808,1808,1808,1808,1808,1808,17.01477813720703,13.875686645507813,0.25577545166015625,0.25507354736328125,0.254730224609375,0.25467681884765625,27.990890502929688,9.562820434570313,19.13990020751953,17.553199768066406,0.25727081298828125,0.25711822509765625,0.25701904296875,0.25637054443359375,0.256072998046875,0.2558746337890625,16486756352,6710886400,7569817600,0
199,1772007525937,11811.548873901367,2120,0,0.7,32728.168045043945,1808,1808,1808,1808,1808,1808,1808,1808,2000,2000,1808,1808,1808,1808,1808,1808,3.9536666870117188,2.4419326782226563,0.13431549072265625,0.13426971435546875,0.13421630859375,0.13421630859375,23.334487915039063,19.168113708496094,28.83917999267578,33.904502868652344,0.1347198486328125,0.13466644287109375,0.13462066650390625,0.13462066650390625,0.13451385498046875,0.134368896484375,16486756352,6710886400,7569743872,0
200,1772007526137,10148.175857543945,2120,0,0.7,32729.09307861328,1808,1808,1808,1808,1808,1808,1808,1808,2000,2000,1808,1808,1808,1808,1808,1808,23.044898986816406,16.564781188964844,0,0,0,0,18.34283447265625,10.281044006347656,22.157135009765625,11.018363952636719,0,0,0,0,0,0,16486756352,6710886400,7569670144,0
199,1772007526338,10148.271575927734,2650,0,0.775,32730.015838623047,1808,1808,1808,1808,1808,1808,1808,1808,2000,2000,1808,1808,1808,1808,1808,1808,6.87451171875,4.4806365966796875,0.38935089111328125,0.38930511474609375,0.389251708984375,0.389251708984375,26.44426727294922,17.89093017578125,28.866836547851563,27.99755096435547,0.38954925537109375,0.38954925537109375,0.38950347900390625,0.3894500732421875,0.389404296875,0.38935089111328125,16486756352,6710886400,7569317888,0
