Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771997734262,5193.968948364258,3750,0,1.0437500000000002,37577.47692871094,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,6.196868896484375,4.0363922119140625,6.881988525390625,6.894676208496094,14.028602600097656,5.167381286621094,12.022186279296875,3.88958740234375,63.812007904052734,42.5479850769043,33.50914764404297,53.13287353515625,3.779022216796875,3.779022216796875,3.7753982543945313,3.7735824584960938,16486756352,6710886400,7428890624,0
200,1771997734262,5193.975982666016,3750,0,1.0437500000000002,37577.50564575195,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,50.78921127319336,4.7152862548828125,54.47552490234375,2.3176803588867188,100,12.697303771972656,2.3476486206054688,1.8581390380859375,68.03196716308594,92.63735961914063,55.45454406738281,30.0599365234375,3.48651123046875,3.4765243530273438,3.4665298461914063,3.4665298461914063,16486756352,6710886400,7428907008,0
200,1771997734462,4073.147415161133,3000,0,0.85625,37578.80505371094,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,12.048057556152344,5.5295867919921875,2.705963134765625,0.8908538818359375,2.7564544677734375,3.7473831176757813,10.062248229980469,13.011474609375,10.156784057617188,10.903457641601563,4.132682800292969,5.1063385009765625,1.80322265625,2.6545257568359375,0.5491561889648438,0.96881103515625,16486756352,6710886400,7433916416,0
200,1771997734663,3629.519729614258,4325,0,1.3125,37582.152252197266,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,8.890922546386719,8.527488708496094,3.5306625366210938,0.31575775146484375,5.870948791503906,2.5010757446289063,12.401481628417969,14.438102722167969,7.260780334472656,14.208091735839844,2.3283920288085938,80.16839599609375,1.1342849731445313,0.9276123046875,0.8693389892578125,1.3047332763671875,16486756352,6710886400,7441731584,0
200,1771997734863,3630.9759826660156,4300,0,1.3125,37585.97561645508,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,11.52484130859375,4.2195587158203125,0.29029083251953125,0.23616790771484375,2.6900787353515625,1.0747222900390625,6.476509094238281,7.7266845703125,8.218086242675781,12.348724365234375,2.5512771606445313,100,1.2222137451171875,0.5658493041992188,0.6660079956054688,5.5597076416015625,16486756352,6710886400,7440982016,0
200,1771997735063,3632.4798278808594,4300,0,1.30625,37589.51443481445,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,9.012336730957031,2.474945068359375,0.837860107421875,1.2115554809570313,1.6556015014648438,0.86883544921875,5.293113708496094,6.5523529052734375,6.026336669921875,8.129440307617188,29.456016540527344,100,1.490325927734375,0.6413040161132813,0.2362823486328125,0.6835403442382813,16486756352,6710886400,7441526784,0
200,1771997735264,3633.9339447021484,4300,0,1.3125,37593.38052368164,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,11.394569396972656,3.4838714599609375,0.7240066528320313,1.48980712890625,4.1717529296875,2.0665664672851563,5.15814208984375,10.645736694335938,7.720314025878906,11.505882263183594,2.2971572875976563,100,2.5468978881835938,1.1414337158203125,1.86419677734375,0.3592681884765625,16486756352,6710886400,7438467072,0
200,1771997735464,5195.252838134766,1920,1,0.6625,37595.29995727539,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,12.523231506347656,3.7158126831054688,2.159759521484375,0,2.4960479736328125,1.5184326171875,8.463973999023438,8.869010925292969,10.305740356445313,12.573265075683594,5.648185729980469,26.336814880371094,1.3169631958007813,1.9279708862304688,0.7075576782226563,0,16486756352,6710886400,7431974912,0
199,1771997735665,5195.467193603516,2000,1,0.675,37596.62928771973,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,11.108085632324219,4.6299591064453125,1.1241912841796875,0.02991485595703125,3.5086593627929688,2.2481842041015625,7.293365478515625,10.574386596679688,11.15545654296875,16.35900115966797,1.8391952514648438,1.3263397216796875,0.157470703125,1.2959213256835938,0.01361083984375,0.0222930908203125,16486756352,6710886400,7433928704,0
199,1771997735865,5195.592590332031,3200,0,0.90625,37597.857971191406,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,10.810279846191406,5.4692535400390625,1.2147293090820313,1.1897354125976563,2.0027923583984375,3.6692657470703125,8.800621032714844,13.947052001953125,8.820281982421875,13.728767395019531,5.039161682128906,3.0451278686523438,1.1732101440429688,1.5800094604492188,1.8477783203125,1.2236404418945313,16486756352,6710886400,7433019392,0
