Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772006687315,11386.002380371094,2120,0,0.7,29714.783248901367,1808,1808,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,86.40274047851563,66.02931213378906,1.2633209228515625,1.2643890380859375,1.2601165771484375,1.2601165771484375,52.137062072753906,35.611297607421875,47.49954605102539,58.26662063598633,1.2707977294921875,1.2686614990234375,1.2675933837890625,1.2665252685546875,1.2654571533203125,1.2643890380859375,16486756352,6710886400,7977811968,0
199,1772006687316,11386.005065917969,2650,0,0.7875,29714.799911499023,1808,1808,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,95.82183837890625,49.704376220703125,0,0,0,0,100,100,85.84942626953125,77.43397521972656,0,0,0,0,0,0,16486756352,6710886400,7977893888,0
199,1772006687516,11386.117858886719,1400,2,0.63125,29715.73258972168,1808,1808,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,6.659126281738281,5.3485260009765625,0,0,0,0,28.114784240722656,20.22113800048828,24.107269287109375,25.428558349609375,0,0,0,0,0,0,16486756352,6710886400,7974379520,0
200,1772006687717,11386.255599975586,2650,0,0.775,29716.752227783203,1808,1808,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,18.995506286621094,25.66064453125,0.41141510009765625,0.4113616943359375,0.8180007934570313,3.1957473754882813,29.801719665527344,23.017410278320313,29.942771911621094,26.777908325195313,0.4117584228515625,0.4117584228515625,0.41165924072265625,0.41161346435546875,0.4115142822265625,0.41141510009765625,16486756352,6710886400,7975264256,0
199,1772006687917,11386.380447387695,2650,0,0.775,29717.679107666016,1808,1808,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,9.510147094726563,16.05854034423828,0,0,11.544281005859375,6.445106506347656,10.647293090820313,8.644645690917969,17.663368225097656,14.849830627441406,0,0,0,0,0,0,16486756352,6710886400,7974522880,0
199,1772006688117,11386.510025024414,2650,0,0.775,29718.593460083008,1808,1808,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,3.3569564819335938,6.979736328125,0.0373992919921875,0.03730010986328125,4.273460388183594,2.305938720703125,24.20050811767578,28.56494140625,23.815750122070313,21.47895050048828,0.037994384765625,0.03784942626953125,0.037750244140625,0.03769683837890625,0.03759765625,0.037445068359375,16486756352,6710886400,7974133760,0
199,1772006688318,11386.674926757813,2650,0,0.775,29719.463485717773,1808,1808,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,0,0,0,0,0,0,29.775497436523438,20.404693603515625,24.115150451660156,22.76343536376953,0,0,0,0,0,0,16486756352,6710886400,7973355520,0
200,1772006688518,11386.810836791992,1400,2,0.63125,29720.38018798828,1808,1808,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,14.475021362304688,21.282752990722656,0.46608734130859375,0.4659881591796875,0.46584320068359375,0.4657440185546875,20.98871612548828,12.4107666015625,17.109458923339844,20.656448364257813,0.46698760986328125,0.46683502197265625,0.46673583984375,0.46663665771484375,0.46649169921875,0.46639251708984375,16486756352,6710886400,7974309888,0
199,1772006688719,11386.922805786133,2650,0,0.775,29721.307907104492,1808,1808,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,5.957633972167969,9.09796142578125,0,0,0,0,23.014686584472656,26.003524780273438,23.285476684570313,22.75873565673828,0,0,0,0,0,0,16486756352,6710886400,7973793792,0
199,1772006688919,11387.05810546875,2650,0,0.775,29722.2218170166,1808,1808,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,0,0,0,0,0,0,26.1292724609375,21.891883850097656,22.397727966308594,25.671279907226563,0,0,0,0,0,0,16486756352,6710886400,7973466112,0
