Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772018160915,17663.864196777344,2650,0,0.7875,13440.36441040039,2000,1808,1808,1808,2000,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,27.71312713623047,51.03116989135742,2.3650360107421875,2.3610000610351563,2.359649658203125,2.358306884765625,14.739082336425781,22.750328063964844,49.11681365966797,87.2371597290039,2.37445068359375,2.37310791015625,2.3717575073242188,2.3690719604492188,2.3677215576171875,2.3650360107421875,16486756352,6710886400,8067600384,0
200,1772018160916,17663.88999938965,2120,0,0.7,13440.487365722656,2000,1808,1808,1808,2000,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,36.83030700683594,16.827728271484375,0,0,0,0,45.45980453491211,11.51873779296875,75.94401550292969,65.40557861328125,0,0,0,0,0,0,16486756352,6710886400,8067571712,0
199,1772018161116,17664.019577026367,2120,0,0.6875,13441.29931640625,2000,1808,1808,1808,2000,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,2.059814453125,0.7474594116210938,0.1529998779296875,0.1529998779296875,0.1529998779296875,0.15290069580078125,18.53565216064453,23.10760498046875,26.713607788085938,15.923225402832031,0.15320587158203125,0.15320587158203125,0.15320587158203125,0.1531524658203125,0.153106689453125,0.15305328369140625,16486756352,6710886400,8064610304,0
200,1772018161316,17664.168716430664,2650,0,0.775,13442.033187866211,2000,1808,1808,1808,2000,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,0.0379180908203125,0,0,0,0,0,18.81829071044922,21.78894805908203,16.90380096435547,18.531600952148438,0,0,0,0,0,0,16486756352,6710886400,8061829120,0
200,1772018161517,15007.294876098633,2650,0,0.775,13442.785629272461,2000,1808,1808,1808,2000,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,0.0860443115234375,0.045166015625,0.037689208984375,0.03763580322265625,0.03759002685546875,0.0374908447265625,22.195053100585938,16.926353454589844,23.0113525390625,18.033248901367188,0.0380401611328125,0.03794097900390625,0.037841796875,0.037841796875,0.03778839111328125,0.03774261474609375,16486756352,6710886400,8057954304,0
199,1772018161717,17664.506927490234,2650,0,0.775,13443.525100708008,2000,1808,1808,1808,2000,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,0.40300750732421875,0.389068603515625,0.39449310302734375,0.39434051513671875,0.3942413330078125,0.394195556640625,22.670433044433594,22.727516174316406,20.139419555664063,15.815719604492188,0.3947906494140625,0.394744873046875,0.39469146728515625,0.39459228515625,0.3945465087890625,0.3945465087890625,16486756352,6710886400,8057589760,0
199,1772018161918,15007.529403686523,2120,0,0.6875,13444.244338989258,2000,1808,1808,1808,2000,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,0.08159637451171875,0.0812530517578125,0.08060455322265625,0.0805511474609375,0.08050537109375,0.08040618896484375,16.355255126953125,22.397926330566406,21.806991577148438,13.481742858886719,0.0809478759765625,0.0809478759765625,0.08084869384765625,0.08074951171875,0.0807037353515625,0.08065032958984375,16486756352,6710886400,8057483264,0
199,1772018162118,15007.658477783203,2650,0,0.775,13445.019180297852,2000,1808,1808,1808,2000,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,0,0,0,0,0,0,20.628692626953125,23.578598022460938,17.72148895263672,19.940048217773438,0,0,0,0,0,0,16486756352,6710886400,8057131008,0
200,1772018162318,17664.89517211914,2650,0,0.775,13445.738784790039,2000,1808,1808,1808,2000,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,0,0,0,0,0,0,23.780426025390625,17.606361389160156,12.257331848144531,16.975982666015625,0,0,0,0,0,0,16486756352,6710886400,8056844288,0
199,1772018162519,17665.059860229492,2650,0,0.775,13446.48046875,2000,1808,1808,1808,2000,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,0,0,0,0,0,0,26.40680694580078,17.62646484375,18.51738739013672,17.97705841064453,0,0,0,0,0,0,16486756352,6710886400,8056442880,0
199,1772018162719,17665.19612121582,2650,0,0.775,13447.24739074707,2000,1808,1808,1808,2000,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,0,0,0,0,0,0,21.006248474121094,18.24242401123047,22.90460968017578,19.35626220703125,0,0,0,0,0,0,16486756352,6710886400,8056446976,0
200,1772018162919,17665.30699157715,2650,0,0.775,13447.969009399414,2000,1808,1808,1808,2000,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,0.080169677734375,0.0799713134765625,0.07891845703125,0.07881927490234375,0.080169677734375,0.08007049560546875,25.859657287597656,17.119407653808594,15.299423217773438,18.587203979492188,0.07936859130859375,0.079315185546875,0.0792694091796875,0.07917022705078125,0.0792694091796875,0.07921600341796875,16486756352,6710886400,8056430592,0
199,1772018163120,17665.469512939453,2650,0,0.775,13448.730072021484,2000,1808,1808,1808,2000,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,0,0,0,0,0,0,23.797607421875,25.014877319335938,19.460472106933594,16.006980895996094,0,0,0,0,0,0,16486756352,6710886400,8055468032,0
199,1772018163320,17665.66000366211,2650,0,0.775,13449.497344970703,2000,1808,1808,1808,2000,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,0.1083526611328125,0.0693359375,0.06493377685546875,0.06478118896484375,0.0646820068359375,0.06458282470703125,23.146095275878906,17.535438537597656,20.364105224609375,16.197113037109375,0.06548309326171875,0.0654296875,0.06533050537109375,0.0652313232421875,0.06513214111328125,0.065032958984375,16486756352,6710886400,8055435264,0
200,1772018163521,9764.483688354492,2650,0,0.7875,13450.810958862305,2000,1808,1808,1808,2000,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,52.31489944458008,52.785953521728516,0.14177703857421875,0.1417236328125,8.798454284667969,8.475852966308594,76.06536865234375,75.46200561523438,71.73993682861328,72.22459411621094,0.14221954345703125,0.142120361328125,0.1420745849609375,0.14197540283203125,0.1419219970703125,0.141876220703125,16486756352,6710886400,8053141504,0
199,1772018163722,9764.63461303711,2120,0,0.7,13451.764572143555,2000,1808,1808,1808,2000,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,17.692062377929688,37.08375930786133,0.03551483154296875,0.0354156494140625,13.892341613769531,19.46172332763672,14.967704772949219,21.24748992919922,22.57048797607422,27.00804901123047,0.0359649658203125,0.03591156005859375,0.03571319580078125,0.03571319580078125,0.0356597900390625,0.035614013671875,16486756352,6710886400,8051240960,0
200,1772018163922,17666.099700927734,2650,0,0.775,13452.555480957031,2000,1808,1808,1808,2000,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,2.129974365234375,4.21246337890625,0,0,3.1785125732421875,3.9811019897460938,18.31585693359375,12.314094543457031,14.687904357910156,19.260635375976563,0,0,0,0,0,0,16486756352,6710886400,8050487296,0
200,1772018164122,15008.866226196289,2650,0,0.775,13453.350067138672,2000,1808,1808,1808,2000,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,0.1561126708984375,0.130828857421875,0.1300811767578125,0.13002777099609375,0.12998199462890625,0.1299285888671875,20.974990844726563,18.83026885986328,25.64813232421875,19.461814880371094,0.13057708740234375,0.1304779052734375,0.13043212890625,0.13037872314453125,0.13022613525390625,0.13018035888671875,16486756352,6710886400,8049590272,0
199,1772018164323,15008.969528198242,2650,0,0.775,13454.061706542969,2000,1808,1808,1808,2000,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,0.032989501953125,0.032684326171875,0.032135009765625,0.032135009765625,0.0320892333984375,0.03203582763671875,16.332191467285156,15.608840942382813,20.208084106445313,20.348663330078125,0.03253936767578125,0.0324859619140625,0.03238677978515625,0.03234100341796875,0.03228759765625,0.03223419189453125,16486756352,6710886400,8049573888,0
200,1772018164523,17666.567947387695,2650,0,0.775,13454.80844116211,2000,1808,1808,1808,2000,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,0.011688232421875,0.01139068603515625,0.01084136962890625,0.0107879638671875,0.0107421875,0.01068878173828125,18.067916870117188,15.109939575195313,27.544769287109375,20.985931396484375,0.011138916015625,0.01108551025390625,0.01108551025390625,0.01103973388671875,0.0109405517578125,0.01088714599609375,16486756352,6710886400,8039337984,0
199,1772018164724,15009.14192199707,2650,0,0.775,13455.566528320313,2000,1808,1808,1808,2000,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,0.109710693359375,0.0909576416015625,0.08663177490234375,0.0865325927734375,0.0865325927734375,0.08647918701171875,20.633438110351563,13.744804382324219,22.906356811523438,25.654014587402344,0.08698272705078125,0.0869293212890625,0.086883544921875,0.08683013916015625,0.0866851806640625,0.0866851806640625,16486756352,6710886400,8016732160,0
199,1772018164924,17666.852905273438,1800,2,0.63125,13456.328964233398,2000,1808,1808,1808,2000,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,0.2829132080078125,0.27416229248046875,0.2783355712890625,0.278289794921875,0.279632568359375,0.27953338623046875,25.25153350830078,15.966255187988281,20.375457763671875,15.503761291503906,0.27938079833984375,0.279083251953125,0.27923583984375,0.27913665771484375,0.279083251953125,0.2786865234375,16486756352,6710886400,8016687104,0
200,1772018165124,17667.049591064453,1400,2,0.63125,13457.064376831055,2000,1808,1808,1808,2000,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,0.0137176513671875,0.01331329345703125,0.0128631591796875,0.01276397705078125,0.01271820068359375,0.012664794921875,18.710304260253906,18.730575561523438,26.33734893798828,19.755088806152344,0.01311492919921875,0.01306915283203125,0.01306915283203125,0.01296234130859375,0.01291656494140625,0.0128631591796875,16486756352,6710886400,8019116032,0
199,1772018165325,15009.500457763672,2650,0,0.775,13457.787231445313,2000,1808,1808,1808,2000,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,0,0,0,0,0,0,17.52020263671875,14.79119873046875,21.015518188476563,18.12627410888672,0,0,0,0,0,0,16486756352,6710886400,8019099648,0
200,1772018165525,17667.399673461914,2650,0,0.775,13458.52311706543,2000,1808,1808,1808,2000,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,0,0,0,0,0,0,18.288734436035156,14.568031311035156,23.056472778320313,20.52478790283203,0,0,0,0,0,0,16486756352,6710886400,8018849792,0
200,1772018165726,15009.69644165039,1400,2,0.63125,13459.250778198242,2000,1808,1808,1808,2000,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,0.1417999267578125,0.1412506103515625,0.1276397705078125,0.12749481201171875,0.12734222412109375,0.1272430419921875,20.736984252929688,14.344711303710938,20.839744567871094,21.735275268554688,0.128387451171875,0.12823486328125,0.12813568115234375,0.1280364990234375,0.12789154052734375,0.12773895263671875,16486756352,6710886400,8018919424,0
199,1772018165927,17667.706741333008,2650,0,0.79375,13459.9833984375,2000,1808,1808,1808,2000,2000,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,0.30777740478515625,0.30757904052734375,0.32012176513671875,0.32012176513671875,0.32027435302734375,0.32037353515625,23.97197723388672,16.302207946777344,21.231292724609375,15.005271911621094,0.3200225830078125,0.32007598876953125,0.31982421875,0.3197784423828125,0.3203277587890625,0.32022857666015625,16486756352,6710886400,8018817024,0
