Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772010745486,11381.463317871094,2650,0,0.7875,43941.59001159668,2000,2000,1808,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,18.472549438476563,19.228591918945313,7.624122619628906,7.62310791015625,27.858413696289063,41.22361755371094,50.91675567626953,66.3893814086914,58.91384506225586,56.5678825378418,7.628166198730469,7.6271514892578125,7.6261444091796875,7.6271514892578125,7.6261444091796875,7.625129699707031,16486756352,6710886400,8344477696,0
199,1772010745486,13402.693298339844,2650,0,0.775,43941.707290649414,2000,2000,1808,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,16.644691467285156,40.82752990722656,1.2569427490234375,1.2569427490234375,12.074310302734375,15.940742492675781,39.76129150390625,36.36331558227539,40.416934967041016,36.489112854003906,1.2579498291015625,1.2579498291015625,1.2579498291015625,1.2574462890625,1.2569427490234375,1.2574462890625,16486756352,6710886400,8344535040,0
199,1772010745686,11381.555465698242,2650,0,0.775,43942.649993896484,2000,2000,1808,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,2.8208389282226563,3.861083984375,0,0,3.6200790405273438,1.9487838745117188,17.49317169189453,24.42530059814453,23.33917999267578,24.412307739257813,0,0,0,0,0,0,16486756352,6710886400,8344399872,0
199,1772010745887,11381.65365600586,2650,0,0.775,43943.54006958008,2000,2000,1808,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,0,0,0,0,0,0,18.967552185058594,25.405067443847656,23.442214965820313,28.719627380371094,0,0,0,0,0,0,16486756352,6710886400,8344137728,0
200,1772010746087,13403.050750732422,2650,0,0.78125,43944.443939208984,2000,2000,1808,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,4.287101745605469,4.273735046386719,0.21674346923828125,0.216644287109375,0.21659088134765625,0.21634674072265625,17.572463989257813,23.086280822753906,28.54131317138672,25.41162109375,0.217193603515625,0.2172393798828125,0.21689605712890625,0.21689605712890625,0.2168426513671875,0.21674346923828125,16486756352,6710886400,8344047616,0
200,1772010746288,13403.132888793945,1400,2,0.63125,43945.3133392334,2000,2000,1808,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,18.67333984375,19.581809997558594,0.42198944091796875,0.4218902587890625,0.42169189453125,0.42159271240234375,9.079002380371094,14.298507690429688,14.960319519042969,17.65312957763672,0.42293548583984375,0.42278289794921875,0.4226837158203125,0.42253875732421875,0.4224395751953125,0.4222412109375,16486756352,6710886400,8342142976,0
200,1772010746488,13403.274932861328,2650,0,0.78125,43946.20072937012,2000,2000,1808,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,6.898979187011719,6.2052764892578125,0.01244354248046875,0.01244354248046875,0.01244354248046875,0.012542724609375,15.704017639160156,22.08647918701172,22.197738647460938,21.591461181640625,0.0124969482421875,0.0124969482421875,0.012542724609375,0.01239776611328125,0.01244354248046875,0.01244354248046875,16486756352,6710886400,8342126592,0
199,1772010746688,13403.390182495117,2120,0,0.6875,43947.12196350098,2000,2000,1808,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,0,0,0,0,0,0,19.10265350341797,25.19519805908203,23.55255126953125,28.237213134765625,0,0,0,0,0,0,16486756352,6710886400,8341880832,0
199,1772010746889,13403.518035888672,2650,0,0.78125,43948.003967285156,2000,2000,1808,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,0,0,0,0,0,0,16.7802734375,24.92589569091797,26.115272521972656,25.454742431640625,0,0,0,0,0,0,16486756352,6710886400,8341585920,0
199,1772010747089,11382.113250732422,2120,0,0.7,43948.91293334961,2000,2000,1808,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,9.216873168945313,8.945030212402344,0.5743560791015625,0.5743026733398438,0.5755538940429688,0.5755538940429688,21.1207275390625,19.196632385253906,21.447341918945313,21.49713897705078,0.5747528076171875,0.5747528076171875,0.5746078491210938,0.5745010375976563,0.5743560791015625,0.57440185546875,16486756352,6710886400,8341442560,0
