Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771996394899,1879.5006866455078,3750,0,1.0437500000000002,29039.65835571289,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,11.241157531738281,3.7254104614257813,24.105499267578125,39.74941635131836,44.0047721862793,6.982292175292969,2.8269577026367188,6.05401611328125,6.1435089111328125,3.4148101806640625,35.58180236816406,52.2592887878418,29.750648498535156,6.06805419921875,3.37445068359375,2.5742721557617188,16486756352,6710886400,8239595520,0
200,1771996394899,3328.6444702148438,3000,0,0.85625,29039.674606323242,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,22.202484130859375,85.61278533935547,0,0,0,0,22.34063720703125,0,0,0,100,100,0,0,0,0,16486756352,6710886400,8239611904,0
199,1771996395100,4351.17951965332,2000,1,0.675,29041.009963989258,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,10.71002197265625,11.658416748046875,1.2741317749023438,2.2600631713867188,3.6580123901367188,4.4649658203125,8.636749267578125,11.245361328125,7.634788513183594,12.4388427734375,1.091522216796875,3.215423583984375,1.8664703369140625,2.67864990234375,2.0811386108398438,0.8110885620117188,16486756352,6710886400,8238891008,0
200,1771996395300,4351.261627197266,2400,0,0.74375,29042.00550842285,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,7.629730224609375,11.33203125,0.7576522827148438,0.8308486938476563,3.097625732421875,3.0288543701171875,4.564170837402344,10.244476318359375,6.222434997558594,7.288276672363281,1.1829071044921875,1.7989883422851563,1.5031967163085938,1.13824462890625,0.4604644775390625,0.5539321899414063,16486756352,6710886400,8238993408,0
199,1771996395501,743.2905120849609,3000,0,0.86875,29043.074768066406,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,9.158348083496094,13.206169128417969,0.8004684448242188,1.281829833984375,2.33819580078125,4.408226013183594,4.11212158203125,10.551620483398438,4.973747253417969,7.807273864746094,2.4322738647460938,1.3328628540039063,1.3313674926757813,0.7424545288085938,0.6405410766601563,0.5428237915039063,16486756352,6710886400,8238174208,0
199,1771996395701,1879.9608917236328,3000,0,0.8625,29044.504348754883,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,7.69390869140625,9.7381591796875,0.727752685546875,1.9997787475585938,2.50372314453125,2.6305007934570313,2.1133804321289063,12.537918090820313,19.94671630859375,8.242889404296875,1.25775146484375,3.1329498291015625,1.4201889038085938,1.484100341796875,0.429168701171875,0.6858291625976563,16486756352,6710886400,8240824320,0
199,1771996395901,559.9653015136719,3750,0,1.0437500000000002,29045.63722229004,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,9.2109375,10.174568176269531,1.2732086181640625,0.4680938720703125,1.8405303955078125,3.1055908203125,3.5379409790039063,12.308128356933594,10.581619262695313,5.418907165527344,1.101348876953125,4.866783142089844,1.9635009765625,0.6956939697265625,1.3575363159179688,1.5107498168945313,16486756352,6710886400,8239259648,0
199,1771996396101,1880.1665344238281,3000,0,0.8625,29046.75242614746,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,7.3084869384765625,13.868980407714844,2.596710205078125,0.9210662841796875,2.9109649658203125,4.367317199707031,8.420875549316406,9.333869934082031,6.3620452880859375,11.022422790527344,1.3027191162109375,1.812774658203125,2.1212921142578125,1.3981781005859375,1.1373138427734375,1.2936477661132813,16486756352,6710886400,8236126208,0
200,1771996396301,3329.3580474853516,3000,0,0.85625,29047.861755371094,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,7.642181396484375,9.206199645996094,0.41420745849609375,0.3772430419921875,1.9340591430664063,3.0287857055664063,6.441627502441406,12.153511047363281,7.600715637207031,6.7305908203125,0.534393310546875,1.4384231567382813,2.4716033935546875,0.43889617919921875,0.18514251708984375,0.13130950927734375,16486756352,6710886400,8236040192,0
199,1771996396502,4351.994552612305,2000,1,0.675,29048.998916625977,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,8.865547180175781,10.397056579589844,0.7246017456054688,0.777679443359375,2.407012939453125,2.8208694458007813,6.351524353027344,11.159370422363281,8.001815795898438,6.666259765625,0.95587158203125,3.1217880249023438,0.7999267578125,1.22625732421875,0.5741424560546875,0.5965423583984375,16486756352,6710886400,8236019712,0
