Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772010382773,11245.708862304688,2650,0,0.7875,42661.62503051758,2000,2000,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,15.838272094726563,19.231773376464844,0,0,16.89483642578125,11.366409301757813,70.67346954345703,42.64910888671875,40.913848876953125,43.19991683959961,0,0,0,0,0,0,16486756352,6710886400,8333500416,0
199,1772010382773,11245.711853027344,2650,0,0.7875,42661.641830444336,2000,2000,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,7.2162933349609375,29.003555297851563,0,0,0,0,100,88.06840515136719,80.63463592529297,73.07235717773438,0,0,0,0,0,0,16486756352,6710886400,8333516800,0
199,1772010382974,13232.202606201172,2650,0,0.78125,42662.40832519531,2000,2000,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,6.9427032470703125,3.4423141479492188,0.02283477783203125,0.02243804931640625,4.171028137207031,6.515602111816406,20.666526794433594,23.992279052734375,20.795196533203125,21.456459045410156,0.02378082275390625,0.02358245849609375,0.02338409423828125,0.023284912109375,0.02313232421875,0.02303314208984375,16486756352,6710886400,8333496320,0
199,1772010383174,11245.888778686523,2650,0,0.775,42663.0704498291,2000,2000,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,0,0,0,0,0,0,22.2589111328125,31.008522033691406,30.647056579589844,27.22058868408203,0,0,0,0,0,0,16486756352,6710886400,8332431360,0
199,1772010383375,13232.424041748047,1400,2,0.63125,42663.743881225586,2000,2000,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,0.0813751220703125,0.02381134033203125,0.02965545654296875,0.02950286865234375,0.02950286865234375,0.02930450439453125,22.34844970703125,30.93602752685547,24.806777954101563,28.559165954589844,0.0303497314453125,0.03020477294921875,0.0301055908203125,0.03000640869140625,0.0299530029296875,0.029754638671875,16486756352,6710886400,8332075008,0
200,1772010383575,11246.082656860352,2650,0,0.7875,42664.42565917969,2000,2000,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,3.9372634887695313,2.1968002319335938,0.2562103271484375,0.25615692138671875,0.25615692138671875,0.25615692138671875,22.008071899414063,31.763572692871094,29.89288330078125,22.108856201171875,0.2564544677734375,0.25640869140625,0.25630950927734375,0.2562103271484375,0.256256103515625,0.2562103271484375,16486756352,6710886400,8331440128,0
199,1772010383776,7498.666656494141,2650,0,0.79375,42665.2099609375,2000,2000,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,14.584403991699219,11.023605346679688,0.18505096435546875,0.184844970703125,0.1847991943359375,0.1846466064453125,16.539703369140625,18.37445831298828,20.16820526123047,13.929229736328125,0.1855926513671875,0.18549346923828125,0.18544769287109375,0.185394287109375,0.18524932861328125,0.185150146484375,16486756352,6710886400,8328425472,0
199,1772010383975,13232.713119506836,2650,0,0.775,42666.11166381836,2000,2000,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,5.146049499511719,5.3961639404296875,0,0,0,0,22.721969604492188,23.99915313720703,26.435104370117188,30.410049438476563,0,0,0,0,0,0,16486756352,6710886400,8333619200,0
199,1772010384176,13232.786026000977,2120,0,0.7,42666.91764831543,2000,2000,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,0,0,0,0,0,0,18.788467407226563,29.52930450439453,19.720054626464844,13.560295104980469,0,0,0,0,0,0,16486756352,6710886400,8333312000,0
200,1772010384376,13232.920318603516,2650,0,0.78125,42667.78894042969,2000,2000,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,12.323081970214844,7.251228332519531,0,0,0,0,15.162696838378906,20.36042022705078,24.63719940185547,16.81017303466797,0,0,0,0,0,0,16486756352,6710886400,8333266944,0
199,1772010384576,13233.008987426758,2650,0,0.775,42668.62559509277,2000,2000,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,16.472320556640625,11.752708435058594,0,0,0,0,14.322097778320313,19.70079803466797,19.312820434570313,12.263145446777344,0,0,0,0,0,0,16486756352,6710886400,8333205504,0
199,1772010384777,13233.132446289063,2650,0,0.78125,42669.43826293945,2000,2000,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,0,0,0,0,0,0,20.443458557128906,26.604049682617188,26.71898651123047,18.434707641601563,0,0,0,0,0,0,16486756352,6710886400,8332931072,0
199,1772010384977,13233.244613647461,2650,0,0.78125,42670.226165771484,2000,2000,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,0.5058059692382813,0.50555419921875,0.5049591064453125,0.5049591064453125,0.5049057006835938,0.5048065185546875,19.645469665527344,24.05486297607422,22.17011260986328,19.55200958251953,0.5053558349609375,0.50531005859375,0.5052566528320313,0.5052566528320313,0.5052108764648438,0.505157470703125,16486756352,6710886400,8331595776,0
199,1772010385177,11246.769271850586,2250,2,0.63125,42671.09880065918,2000,2000,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,13.969062805175781,13.060462951660156,0.0321197509765625,0.0319671630859375,0.03182220458984375,0.0317230224609375,18.33861541748047,19.780113220214844,24.437301635742188,17.199981689453125,0.032867431640625,0.03272247314453125,0.03261566162109375,0.0325164794921875,0.032318115234375,0.03221893310546875,16486756352,6710886400,8330792960,0
199,1772010385377,11246.85661315918,2650,0,0.775,42671.95408630371,2000,2000,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,11.046669006347656,6.1962738037109375,0,0,0,0,18.877685546875,21.95531463623047,20.216217041015625,16.60540008544922,0,0,0,0,0,0,16486756352,6710886400,8330776576,0
199,1772010385577,11246.936721801758,2650,0,0.775,42672.76042175293,2000,2000,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,0,0,0,0,0,0,19.20269012451172,22.66053009033203,26.36939239501953,16.969863891601563,0,0,0,0,0,0,16486756352,6710886400,8330727424,0
199,1772010385778,13233.705947875977,2650,0,0.79375,42673.636474609375,2000,2000,1808,1808,1808,1808,2000,2000,2000,1808,1808,1808,1808,1808,1808,1808,7.010017395019531,9.631820678710938,0,0,0,0,17.84638214111328,22.91020965576172,28.140655517578125,16.32196807861328,0,0,0,0,0,0,16486756352,6710886400,8330686464,0
