Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772015036359,15674.696685791016,3000,0,0.8625,60365.90802001953,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,0,31.063873291015625,0,22.518959045410156,14.852294921875,0,0,28.431137084960938,44.02594757080078,1.9121780395507813,0,0,0,16486756352,6710886400,8423661568,0
200,1772015036359,15674.743560791016,4550,0,1.35,60366.12724304199,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.7182693481445313,9.268905639648438,0,0,1.0676498413085938,0,5.1715240478515625,9.971206665039063,26.081687927246094,34.06598663330078,31.926551818847656,0,0,0,0,0,16486756352,6710886400,8423714816,0
200,1772015036560,3442.0331268310547,3000,0,0.86875,60367.19386291504,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,3.381256103515625,8.201637268066406,1.0438156127929688,1.231292724609375,2.03070068359375,3.0906295776367188,5.127967834472656,10.628639221191406,2.6780548095703125,11.514968872070313,1.3877792358398438,2.253204345703125,1.8795013427734375,1.70465087890625,0.3408660888671875,0.18563079833984375,16486756352,6710886400,8423661568,0
199,1772015036761,2422.4466247558594,3060,0,0.875,60368.35334777832,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,4.2009124755859375,10.795394897460938,0.9141693115234375,0.5777435302734375,1.6299285888671875,5.291709899902344,6.729652404785156,12.216331481933594,4.8716278076171875,11.772514343261719,1.429168701171875,8.1236572265625,2.1511611938476563,1.8635101318359375,0.9602584838867188,0.2535858154296875,16486756352,6710886400,8421724160,0
200,1772015036961,15675.029418945313,1583.3333333333335,2,0.63125,60369.321350097656,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,3.7418289184570313,8.905029296875,0.6854095458984375,0.09555816650390625,0.45941162109375,5.565132141113281,5.7469329833984375,7.3282623291015625,7.721977233886719,8.590835571289063,1.368255615234375,2.3014068603515625,1.45184326171875,0.8912124633789063,0.54254150390625,0,16486756352,6710886400,8421208064,0
199,1772015037161,15675.491394042969,2400,0,0.74375,60371.81590270996,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,11.847137451171875,10.087181091308594,3.149261474609375,2.3219223022460938,4.643501281738281,8.500198364257813,6.8578033447265625,23.671302795410156,9.111198425292969,34.616912841796875,2.7838821411132813,3.7940826416015625,4.4781951904296875,3.7392807006835938,2.9862442016601563,1.11309814453125,16486756352,6710886400,8447950848,0
200,1772015037361,9875.404861450195,4525,0,1.375,60372.93200683594,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2.97308349609375,9.571876525878906,0.419647216796875,0.37099456787109375,2.5476760864257813,6.13909912109375,4.455848693847656,10.685798645019531,4.730171203613281,10.415077209472656,10.246231079101563,3.7942581176757813,2.2760543823242188,1.1780014038085938,0.5202178955078125,0,16486756352,6710886400,8452079616,0
199,1772015037562,13196.768676757813,2400,0,0.74375,60374.01222229004,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,3.3664398193359375,8.187889099121094,1.0793304443359375,0.7466812133789063,0.9160690307617188,6.341636657714844,4.7428131103515625,11.915504455566406,4.833168029785156,11.419891357421875,1.1230621337890625,1.12939453125,2.8718795776367188,0.97027587890625,1.3517379760742188,0.602569580078125,16486756352,6710886400,8451141632,0
199,1772015037763,15675.828964233398,3000,0,0.8625,60375.58999633789,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,4.49591064453125,9.8753662109375,0.9489059448242188,0.41736602783203125,1.0340423583984375,7.786949157714844,2.979339599609375,15.355659484863281,5.2100830078125,11.189231872558594,12.358436584472656,25.769744873046875,2.9127349853515625,0.6981353759765625,1.6305007934570313,1.2914505004882813,16486756352,6710886400,8449572864,0
199,1772015037962,9875.68637084961,3000,0,0.86875,60376.99237060547,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,4.5706329345703125,12.927032470703125,1.43365478515625,0.7977371215820313,1.895965576171875,7.098854064941406,8.376800537109375,13.060188293457031,9.315261840820313,17.227645874023438,2.4548568725585938,0.7880630493164063,2.2040252685546875,2.9814224243164063,0.6170730590820313,0.7123947143554688,16486756352,6710886400,8479870976,0
